genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
"Science Fiction, Action",saving the world hero marine corps chaos retirement,en,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.","Columbia Pictures, Original Film, Relativity Media",116,Battle: Los Angeles,"Aaron Eckhart, Ramón Rodríguez, Will Rothhaar, Cory Hardrict, Jim Parrack",Jonathan Liebesman
"Drama, War",world war i horse farm life execution trapped,en,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.","DreamWorks SKG, Amblin Entertainment, Reliance Entertainment, Kennedy/Marshall Company, The",146,War Horse,"Tom Hiddleston, Benedict Cumberbatch, Toby Kebbell, Emily Watson, Jeremy Irvine",Steven Spielberg
"History, Action, Drama, War",world war ii nazis art theft post world war ii,en,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?","Columbia Pictures, Studio Babelsberg, Fox 2000 Pictures, Smokehouse Pictures, Obelisk Productions",118,The Monuments Men,"Matt Damon, Cate Blanchett, George Clooney, Bill Murray, John Goodman",George Clooney
"Crime, Drama",duringcreditsstinger,en,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.","Twentieth Century Fox Film Corporation, Dune Entertainment, Dune Entertainment III, Edward R. Pressman Film",133,Wall Street: Money Never Sleeps,"Michael Douglas, Shia LaBeouf, Josh Brolin, Carey Mulligan, Frank Langella",Oliver Stone
"Adventure, Fantasy, Romance, Family",witch based on novel new love prince beauty,en,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.","Paramount Pictures, Ingenious Film Partners, Di Bonaventura Pictures, Marv Films, Vaughn Productions",127,Stardust,"Claire Danes, Charlie Cox, Michelle Pfeiffer, Robert De, Niro Sienna, Miller",Matthew Vaughn
"Comedy, Drama",adultery infidelity secret investigation friendship,en,"Longtime friends Ronny and Nick are partners in an auto-design firm. They are hard at work on a presentation for a dream project that would really launch their company. Then Ronny spots Nick's wife out with another man, and in the process of investigating the possible affair, he learns that Nick has a few secrets of his own. As the presentation nears, Ronny agonizes over what might happen if the truth gets out.","Imagine Entertainment, Universal Pictures, Spyglass Entertainment, Wild West Picture Show Productions",111,The Dilemma,"Kevin James, Vince Vaughn, Winona Ryder, Jennifer Connelly, Queen Latifah",Ron Howard
"Fantasy, Action, Horror",vampire daughter hybrid child vampire werewolf,en,"After being held in a coma-like state for fifteen years, vampire Selene learns that she has a fourteen-year-old vampire/Lycan hybrid daughter named Nissa, and when she finds her, they must stop BioCom from creating super Lycans that will kill them all.","Lakeshore Entertainment, Saturn Films, Screen Gems, Sketch Films, UW4 Productions",88,Underworld: Awakening,"Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James, India Eisley",M\u00e5ns M\u00e5rlind
"Romance, Comedy, Drama, Music",musical rocker teenager young love rock sta,en,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.","New Line Cinema, Offspring Entertainment, Corner Store Entertainment, Material Pictures",123,Rock of Ages,"Julianne Hough, Diego Boneta, Tom Cruise, Alec Baldwin, Russell Brand",Adam Shankman
"Adventure, Animation, Action, Comedy, Family",cold flu lethal virus construction worker,en,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.","Conundrum Entertainment, Warner Bros. Animation, Warner Bros.",95,Osmosis Jones,"Chris Rock, Laurence Fishburne, David Hyde, Pierce Brandy, Norwood Bill, Murray",Bobby Farrelly
"Mystery, Crime, Drama",terrorist technology anti hero hacker computer virus,en,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,"Universal Pictures, Forward Pass, Legendary Pictures",133,Blackhat,"Chris Hemsworth, Leehom Wang, Tang Wei, Viola Davis, Holt McCallany",Michael Mann
"Science Fiction, Adventure, Thriller, Mystery, Action",london england himalaya journalist killer robot computer war,en,"When gigantic robots attack New York City, ""Sky Captain"" uses his private air force to fight them off. His ex-girlfriend, reporter Polly Perkins, has been investigating the recent disappearance of prominent scientists. Suspecting a link between the global robot attacks and missing men, Sky Captain and Polly decide to work together. They fly to the Himalayas in pursuit of the mysterious Dr. Totenkopf, the mastermind behind the robots.","Paramount Pictures, Natural Nylon Entertainment, Riff Raff Film Productions, Filmauro, Blue Flower Productions, Brooklyn Films II",107,Sky Captain and the World of Tomorrow,"Jude Law, Gwyneth Paltrow, Giovanni Ribisi, Angelina Jolie, Bai Ling",Kerry Conran
"Thriller, Action",prison muslim ship mystery science fiction,en,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.","Summit Entertainment, Atmosphere Entertainment MM, Emmett/Furla Films, Mark Canton Productions, Envision Entertainment, Boies / Schiller Film Group, Knightsbridge Entertainment",115,Escape Plan,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Vinnie Jones, 50 Cent",Mikael H\u00e5fstr\u00f6m
"Thriller, Action, Drama",cia terrorist atomic bomb cold war nuclear explosion,en,"When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.","Paramount Pictures, Mace Neufeld Productions, MFP Munich Film Partners GmbH & Company I. Produktions KG, S.O.A.F. Productions, Mel's Cite du Cinema",124,The Sum of All Fears,"Ben Affleck, Morgan Freeman, James Cromwell, Ken Jenkins, Liev Schreiber",Phil Alden Robinson
"Adventure, Fantasy, Romance, Drama",vampire graduation bite immortality werewolf,en,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.","Summit Entertainment, Maverick Films, Imprint Entertainment, Sunswept Entertainment, Temple Hill Entertainment",124,The Twilight Saga: Eclipse,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Ashley Greene, Peter Facinelli",David Slade
"Animation, Family",adoptive father orphanage life's dream rivalry stealing,en,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.","Universal Pictures, Illumination Entertainment",95,Despicable Me,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews, Will Arnett",Pierre Coffin
"Adventure, History, Drama",christianity philosophy egypt new love war,en,"A historical drama set in Roman Egypt, concerning philosopher Hypatia of Alexandria and her relationship with her slave Davus, who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of Christianity.","Himenóptero, Telecinco Cinema, Mod Producciones, Nimar Studios, Canal+ España, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Government of Malta",127,Agora,"Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom, Michael Lonsdale",Alejandro Amen\u00e1bar
Comedy,wife husband relationship daydream marriage freedom friends,en,"When best buds Rick and Fred begin to show signs of restlessness at home, their wives take a bold approach to revitalize their marriages: they grant the guys a ""hall pass"", one week of freedom to do whatever they want. At first, it seems like a dream come true, but they quickly discover that their expectations of the single life - and themselves - are completely and hilariously out of sync with reality.","New Line Cinema, Conundrum Entertainment",105,Hall Pass,"Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate, Nicky Whelan",Bobby Farrelly
"Thriller, History, Action, Drama",coast guard based on true story survival rescue mission storm at sea,en,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,"Walt Disney Pictures, Whitaker Entertainment, Bergsten Music, Red Hawk Entertainment",114,The Finest Hours,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana, Holliday Grainger",Craig Gillespie
"Thriller, Action, Drama",terror falsely accused based on novel dying and death jordan,en,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.","Scott Free Productions, De Line Pictures, Warner Bros.",128,Body of Lies,"Leonardo DiCaprio, Russell Crowe, Mark Strong, Ali Suliman, Simon McBurney",Ridley Scott
Comedy,mouse idiot mind control taxidermy aftercreditsstinger,en,"Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.","Paramount Pictures, DreamWorks SKG, Spyglass Entertainment, Everyman Pictures, Reliance BIG Entertainment, Parkes/MacDonald Productions",114,Dinner for Schmucks,"Steve Carell, Paul Rudd, Stephanie Szostak, Jemaine Clement, Zach Galifianakis",Jay Roach
"Mystery, Romance, Drama",london england new year's eve skyscraper burglar distrust,en,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.","Fountainbridge Films, Regency Enterprises",112,Entrapment,"Sean Connery, Catherine Zeta-Jones, Will Patton, Maury Chaykin, Ving Rhames",Jon Amiel
"Adventure, Animation, Comedy, Family",human evolution parents kids relationship squirrel ice loss of child,en,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.","Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation",81,Ice Age,"Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic, Jack Black",Chris Wedge
"Science Fiction, Thriller, Horror, Drama",religion and supernatural,en,"Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.","Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II",136,Dreamcatcher,"Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis, Timothy Olyphant",Lawrence Kasdan
"Science Fiction, Action",saving the world artificial intelligence man vs machine philosophy prophecy,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros.",136,The Matrix,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster",Lilly Wachowski
"Romance, Drama, Music",france robbery brothel mayor star,en,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.","Universal Pictures, Relativity Media, CAMERON MACKINTOSH, Working Title Films",157,Les Misérables,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, Sacha Baron, Cohen",Tom Hooper
"Romance, Comedy",romantic comedy online dating woman director,en,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet – both blissfully unaware that he's putting her out of business.",Warner Bros.,119,You've Got Mail,"Tom Hanks, Meg Ryan, Katie Sagona, Greg Kinnear, Parker Posey",Nora Ephron
"Comedy, Drama",highway slacker hitchhiker wallet sunglasses,en,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.","Legendary Pictures, Green Hat Films, Warner Bros.",95,Due Date,"Robert Downey, Jr. Zach, Galifianakis Michelle, Monaghan Jamie, Foxx Juliette, Lewis",Todd Phillips
"Drama, War",world war ii prisoners of war biography sport war,en,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.","Legendary Pictures, 3 Arts Entertainment, Jolie Pas",137,Unbroken,"Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi Finn, Wittrock",Angelina Jolie
"Adventure, Thriller, Action",nasa space travel astronaut elderly,en,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.","Village Roadshow Pictures, Malpaso Productions, Mad Chance, Warner Bros., Clipsal Films, Digital Image Associates",130,Space Cowboys,"Clint Eastwood, Tommy Lee, Jones Donald, Sutherland James, Garner James, Cromwell",Clint Eastwood
"Fantasy, Comedy, Family",age difference midlife crisis suppressed past self-awareness childhood memory,en,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly -- with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become.",Walt Disney Pictures,104,The Kid,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride",Jon Turteltaub
Comedy,kurdish,en,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,Paramount Pictures,83,The Dictator,"Sacha Baron, Cohen Sayed, Badreya Aasif, Mandvi Megan, Fox Anna, Faris",Larry Charles
"Mystery, Drama",life and death sexual obsession free love heterosexual christmas party,en,"After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.","Hobby Films, Pole Star, Stanley Kubrick Productions, Warner Bros.",159,Eyes Wide Shut,"Tom Cruise, Nicole Kidman, Madison Eginton, Jackie Sawiris, Sydney Pollack",Stanley Kubrick
"Romance, Comedy, Crime, Drama",seduction con man femme fatale deception rivalry,en,"Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved; but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.","Kramer & Sigman Films, RatPac-Dune Entertainment, Zaftig Films",105,Focus,"Will Smith, Margot Robbie, Rodrigo Santoro, Robert Taylor, Gerald McRaney",Glenn Ficarra
"Romance, Action, Comedy",love triangle friendship dating sushi bar exploding airplane,en,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,"Dune Entertainment, Overbrook Films, Robert Simonds Productions",103,This Means War,"Reese Witherspoon, Chris Pine, Tom Hardy, Laura Vandervoort, Angela Bassett",McG
"Science Fiction, Adventure, Thriller, Action, Horror",fbi dracula fistfight vampire hunter superhero,en,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed - The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him, the original vampire, Dracula.","New Line Cinema, Amen Ra Films, Shawn Danielle Productions Ltd., Imaginary Forces, Marvel Enterprises, Peter Frankfurt Productions",123,Blade: Trinity,"Wesley Snipes, Kris Kristofferson, Dominic Purcell, Jessica Biel, Ryan Reynolds",David S. Goyer
"Science Fiction, Action, Horror",mutant dystopia sequel conspiracy tokyo japan,en,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.",Davis-Films,95,Resident Evil: Retribution,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer, Li Bingbing",Paul W.S. Anderson
"Science Fiction, Thriller, Action",car race dystopia matter of life and death prison guard car set on fire,en,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.","Universal Pictures, Cruise/Wagner Productions, Impact Pictures, Relativity Media, Scion Films, H2S2 Filmproduktionsgesellschaft",105,Death Race,"Jason Statham, Joan Allen, Ian McShane, Tyrese Gibson, Natalie Martinez",Paul W.S. Anderson
Drama,support group dual identity nihilism rage and hate insomnia,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","Regency Enterprises, Fox 2000 Pictures, Taurus Film, Linson Films, Atman Entertainment, Knickerbocker Films",139,Fight Club,"Edward Norton, Brad Pitt, Meat Loaf, Jared Leto, Helena Bonham, Carter",David Fincher
"Thriller, Horror",soul queen anti hero fantasy prince,en,"200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.","Lakeshore Entertainment, Sidney Kimmel Entertainment, Lionsgate, Hopscotch Films",92,"I, Frankenstein","Aaron Eckhart, Yvonne Strahovski, Bill Nighy, Jai Courtney, Miranda Otto",Stuart Beattie
"Family, Crime, Drama",london england child abuse street gang runaway child labour,en,"Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.","R.P. Productions, ETIC Films, Runteam III Ltd.",130,Oliver Twist,"Barney Clark, Ben Kingsley, Jamie Foreman, Harry Eden, Edward Hardwicke",Roman Polanski
"Fantasy, Action",martial arts based on comic book female assassin spin off,en,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.","Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Marvel Enterprises, Horseshoe Bay Productions, Elektra Productions, SAI Productions",97,Elektra,"Jennifer Garner, Goran Visnjic, Will Yun, Lee Cary-Hiroyuki, Tagawa Terence, Stamp",Rob Bowman
"Thriller, Crime",detective dystopia dominatrix murder suspense,en,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,"Miramax Films, Troublemaker Studios, AR Films, Aldamisa Entertainment, Demarest Films, Solipsist Film, Residaco",102,Sin City: A Dame to Kill For,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt, Rosario Dawson",Robert Rodriguez
"Adventure, Drama",mountains snow storm hiking climbing snow,en,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.","Universal Pictures, Working Title Films, Walden Media, Cross Creek Pictures, Free State Pictures, RVK Studios",121,Everest,"Jason Clarke, Jake Gyllenhaal, Josh Brolin, John Hawkes, Sam Worthington",Baltasar Korm\u00e1kur
"Fantasy, Crime, Drama",paris female nudity prostitute small town obsession,en,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.","Davis-Films, Nouvelles Éditions de Films (NEF), Rising Star, VIP Medienfonds 4, Ikiru Films, Constantin Film Produktion, Castelao Producciones",147,Perfume: The Story of a Murderer,"Ben Whishaw, Simon Chandler, David Calder, Richard Felix, Birgit Minichmayr",Tom Tykwer
"Science Fiction, Comedy, Crime",saving the world submarine brother brother relationship clone spy,en,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe -- '70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.","New Line Cinema, Eric's Boy, Team Todd, Moving Pictures, Gratitude International",94,Austin Powers in Goldmember,"Mike Myers, Beyoncé Knowles, Seth Green, Michael York, Mindy Sterling",Jay Roach
"Science Fiction, Animation, Action, Family",superhero,en,"Set in futuristic Metro City, Astro Boy is about a young robot with incredible powers created by a brilliant scientist in the image of the son he has lost. Unable to fulfill the grieving man's expectations, our hero embarks on a journey in search of acceptance, experiencing betrayal and a netherworld of robot gladiators, before he returns to save Metro City and reconcile with the father who had rejected him.","The Weinstein Company, Summit Entertainment, Tezuka Production Company Ltd., Imagi Animation Studios",94,Astro Boy,"Nicolas Cage, Kristen Bell, Bill Nighy, Donald Sutherland, Freddie Highmore",David Bowers
"Science Fiction, Adventure",exotic island dna paleontology tyrannosaurus rex triceratops,en,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","Universal Pictures, Amblin Entertainment",127,Jurassic Park,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck",Steven Spielberg
"Comedy, Crime",baby adoption married couple small person criminal,en,"After leaving the prison, the dwarf criminal Calvin Sims joins to his moron brother Percy to steal an expensive huge diamond in a jewelry for the mobster Walken. They are chased by the police, and Calvin hides the stone in the purse of the executive Vanessa Edwards, whose husband Darryl Edwards wants to have a baby. Percy convinces Calvin to dress like a baby and be left in front of the Edwards's house to get inside the house and retrieve the diamond. Darryl and Vanessa keep Calvin for the weekend and decide to adopt him, while Walken threatens Darryl to get the stone back.","Revolution Studios, Wayans Bros. Entertainment",98,Little Man,"Marlon Wayans, Shawn Wayans, Kerry Washington, John Witherspoon, Tracy Morgan",Keenen Ivory Wayans
"Thriller, Action, Drama, War",submarine world war ii north atlantic mission,en,"In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'.","Universal Pictures, Canal Plus, Dino De Laurentiis Company",116,U-571,"Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon, Jovi David, Keith",Jonathan Mostow
"Romance, Comedy",sport ice hockey guru comedy bollywood,en,"Born in America and raised in an Indian ashram, Pitka returns to his native land to seek his fortune as a spiritualist and self-help expert. His skills are put to the test when he must get a brokenhearted hockey player's marriage back on track in time for the man to help his team win the Stanley Cup.","Paramount Pictures, Goldcrest Pictures, Internationale Filmproduktion",87,The Love Guru,"Mike Myers, Jessica Alba, Justin Timberlake, Romany Malco, Meagan Good",Marco Schnabel
"Mystery, Western, Crime, Drama",bounty hunter wyoming mountains narration hangman,en,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,"Double Feature Films, The Weinstein Company, FilmColony",167,The Hateful Eight,"Samuel L., Jackson Kurt, Russell Jennifer, Jason Leigh, Walton Goggins, Demián Bichir",Quentin Tarantino
"Animation, Comedy, Family",coup d'etat slacker easter easter bunny aftercreditsstinger,en,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.","Universal Pictures, Illumination Entertainment",95,Hop,"Russell Brand, James Marsden, Kaley Cuoco, Hank Azaria, Elizabeth Perkins",Tim Hill
"Adventure, Action, War",evisceration javelin shield army fall from height,en,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Warner Bros., Nimar Studios, Cruel and Unusual Films",117,300,"Gerard Butler, Lena Headey, Dominic West, David Wenham, Vincent Regan",Zack Snyder
"Romance, Comedy",cia parents kids relationship florida anti-authoritarian upbringing jew,en,"Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.","DreamWorks SKG, Universal Pictures, Everyman Pictures, Tribeca Productions",115,Meet the Fockers,"Ben Stiller, Teri Polo, Robert De, Niro Dustin, Hoffman Barbra, Streisand",Jay Roach
"Comedy, Family",journalist based on novel puppy dog duringcreditsstinger,en,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.","Sunswept Entertainment, Dune Entertainment III",115,Marley & Me,"Owen Wilson, Jennifer Aniston, Eric Dane, Kathleen Turner, Alan Arkin",David Frankel
"Fantasy, Crime, Drama",southern usa black people mentally disabled based on novel heal,en,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","Castle Rock Entertainment, Darkwoods Productions, Warner Bros.",189,The Green Mile,"Tom Hanks, Michael Clarke, Duncan David, Morse Bonnie, Hunt James, Cromwell",Frank Darabont
"Adventure, Action, Comedy",midlife crisis road trip politically incorrect motorcycle gang biker film,en,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos.","Wild Hogs Productions, Touchstone Pictures",100,Wild Hogs,"Tim Allen, John Travolta, Martin Lawrence, William H., Macy Ray, Liotta",Walt Becker
"Animation, Comedy, Family",fish small town space marine chicken alien,en,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.","Walt Disney Pictures, Walt Disney Feature Animation",81,Chicken Little,"Zach Braff, Joan Cusack, Dan Molina, Steve Zahn, Garry Marshall",Mark Dindal
